n,  insertion, quick, merge  
10,20,30.1,23.15,
20,94.95,82.55,62.3,
30,278.4,141.55,112.3,
40,475.85,207.25,165.85,
50,649.05,284.3,221.65,
60,979.85,358.25,282.9,
70,1322.45,452.9,343.7,
80,1801.95,514.15,408.55,
90,2228,611.85,475.15,
100,2638.35,707.1,541.1,
110,3246.75,810.1,610.95,
120,3907.65,862.3,678.75,
130,4575.95,954.8,750.7,
140,5070,1067.3,823.8,
150,5814.65,1143.15,900.8,
160,6685.7,1237.95,973.85,
170,7809.05,1350.9,1050.65,
180,8556.2,1452.85,1126.25,
190,9518.5,1533.35,1205.05,
200,10284.5,1686.2,1280.55,
210,11760.4,1836.4,1358.45,
220,12544.7,1870.25,1443.1,
230,13775.2,2012.55,1516.05,
240,14889.7,2130.95,1598.15,
250,16255.2,2203.15,1680.2,
260,17731.7,2300.9,1758.1,
270,18986.3,2347.95,1844.2,
280,20193.7,2549.2,1925.2,
290,21177,2684.1,2011.45,
300,23509.9,2800.45,2099.7,
310,24854.9,2883.4,2184.9,
320,26528.6,2918.25,2271.65,
330,28133.5,3051.4,2352.8,
340,29455.6,3160.1,2437.7,
350,31713.3,3356.3,2526.25,
360,33478.2,3450.3,2613.7,
370,35828.6,3534.8,2699.05,
380,37198.2,3658.8,2783.7,
390,39049.9,3783.3,2872.7,
400,40908,3884.7,2957.2,
410,43215.9,3886.15,3047.2,
420,46028.9,4135.5,3136.1,
430,47990.7,4231.95,3231.7,
440,49226.3,4255.4,3318.65,
450,52252.7,4584.15,3405.65,
460,54648,4526.15,3496.45,
470,57519.9,4767.25,3580.7,
480,59077.8,4808.85,3671.25,
490,60720.5,4967.15,3758.8,
500,63783.8,5174.4,3853.35,
510,66554.9,5200,3943.7,
520,69023.1,5396.95,4040.55,
530,71000.9,5387.2,4131.65,
540,75448.6,5569.25,4228.7,
550,77522.9,5632.3,4319.9,
560,79123.7,5770.9,4409.7,
570,82846.6,5870.6,4509.6,
580,86033.4,6093.4,4604.15,
590,88563.8,6177.5,4698.05,
600,91558.1,6288.65,4793.45,
610,94879.4,6525.75,4888.45,
620,98623.9,6648,4987.05,
630,100708,6738.3,5076,
640,105441,6825.6,5168.45,
650,108834,6940.15,5266.05,
660,111070,6871.2,5362.1,
670,112943,7248.6,5461.8,
680,118650,7255.7,5551.35,
690,121218,7547,5652.7,
700,125177,7595.8,5752.15,
710,128482,7578.9,5844.65,
720,133057,7864.75,5941.8,
730,136954,7948.05,6034.55,
740,139624,8118.75,6134.75,
750,144504,8186.85,6231.45,
760,148058,8258.6,6334.95,
770,151685,8225.65,6419.5,
780,153899,8493.5,6519.4,
790,158330,8924.85,6623,
800,161817,9015.5,6726.6,
810,168273,8848.3,6818.65,
820,170405,8968.3,6923.3,
830,176951,9352.2,7021.6,
840,181265,9498.2,7113.35,
850,183639,9210.95,7212.15,
860,186181,9548.35,7315.2,
870,193672,9501.65,7408.6,
880,198064,9932.3,7513.9,
890,201972,9964.85,7611.65,
900,206440,10213.5,7707.65,
910,211420,10251,7804.95,
920,213168,10632.6,7907.85,
930,219877,10391.6,8010.25,
940,224037,10829.5,8112.9,
950,230104,10735,8212.95,
960,234537,11300,8302.5,
970,236429,11099.5,8408,
980,243454,11245.4,8508.3,
990,247998,11407.5,8609.75,
1000,252730,11516.1,8703.75,
